企业名称,工作地点,岗位名称,岗位工资,平均工资,相关专业,学历要求,待遇
怀化正大有限公司,怀化市 邵阳市 张家界市 湘西州 铜仁地区 黔东南州 遵义市 黔南州,养殖技术服务代表,4.5K-15K/月,9750.0,制药工程，食品科学与工程，食品质量与安全，生物工程，药学,本科及以上,岗前培训 岗位晋升 绩效奖金 差旅费 年终奖 年度调薪 带薪年假 过节福利 健康体检 弹性工作
广东广康生化科技股份有限公司,清远市,分析与检验,3K-5K/月,4000.0,生物工程,大专及以上,绩效奖金 岗前培训 年度旅游 岗位晋升 免费班车 包吃包住 健康体检
广州市白云区欧妆化妆品厂,广州市,打板员,2.6K-4.5K/月,3550.0,化学类，应用化学，化学生物学,大专及以上,年底双薪 岗前培训 节日礼物 岗位晋升 员工旅游 带薪年假 包吃包住 健康体检
广州市白云区欧妆化妆品厂,广州市,乳化工艺学员,2.6K-4.5K/月,3550.0,化学类，应用化学，化学生物学,本科及以上,年底双薪 节日礼物 岗位晋升 带薪年假 健康体检 包吃包住 员工旅游
郑州睿信知识产权代理有限公司,郑州市,专利工程师（生物化学）,4.5K-6K/月,5250.0,应用化学，生物技术,硕士及以上,年底双薪 绩效奖金 岗前培训 扁平管理 年度旅游 岗位晋升 弹性工作 带薪年假
湖南可菲香精香料科技有限公司,湘潭市,研究助理,3K-8K/月,5500.0,化学，制药工程，食品科学与工程，生物工程,大专及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 员工旅游 免费班车 包吃包住 健康体检
湖南可菲香精香料科技有限公司,湘潭市,调香助理,3K-8K/月,5500.0,化学，制药工程，食品科学与工程，生物工程,大专及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 员工旅游 免费班车 包吃包住 健康体检
湖南可菲香精香料科技有限公司,湘潭市,分析员,3K-8K/月,5500.0,化学，制药工程，食品科学与工程，生物工程,大专及以上,年底双薪 绩效奖金 节日礼物 年度旅游 岗位晋升 免费班车 员工旅游 包吃包住 健康体检
广州慧扬健康科技有限公司,广州市,商务助理（软硬件系统集成）,5K-7K/月,6000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学，应,本科及以上,绩效奖金 岗前培训 节日礼物 扁平管理 岗位晋升 员工旅游 房补 餐补 带薪年假 健康体检
中国人寿财产保险股份有限公司郴州市中心支公司,郴州市,农业保险管理岗,4K-11K/月,7500.0,植物生产类，农学，园艺，植物保护，植物科学与技术，种子科学与工程，设施农业科学与工程，茶学，烟草，应用生物科学，农艺教育，园艺教育，自然保护与环境生态类，农业资源与环境，野生动物与自然保护区管理，水土保持与荒漠化防治，动物生产类，动物科学，蚕学，蜂学，动物医学类，动物医学，动物药学，动植物检疫，林学类，林学，园林，森林保护，水产类，水产养殖学，海洋渔业科学与技术，水族科学与技术，草学类，草业科学，数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 交通补助 餐补 房补 健康体检
福格森（武汉）生物科技股份有限公司,武汉市,质管部QA,3K-5K/月,4000.0,化工与制药类，生物制药，中药制药,本科及以上,绩效奖金 年底双薪 岗前培训 节日礼物 年度旅游  优质免费员工餐 健康体检 带薪年假 免费通勤车
紫金道合（江西）环保产业技术研究院有限公司,南昌市,环保技术员,3.4K-5K/月,4200.0,给排水科学与工程，化学工程与工艺，化学工程与工业生物工程，地下水科学与工程，环境科学与工程，环境科学，环境工程，环境科学与工程类，环境生态工程，资源环境科学，环保设备工程,本科及以上,交通补助 餐补 带薪年假 健康体检 绩效奖金 岗前培训
青拓集团有限公司,宁德市,化验室技术员,3.5K-5K/月,4250.0,应用化学，化学生物学,本科及以上,包住 餐补 节日礼物 绩效奖金 岗前培训发展空间大
湖南力合星空孵化器管理有限公司,宿州市 襄樊市 湘潭市 深圳市,农艺主管,3K-5K/月,4000.0,农学，园艺，植物保护，园林，生物技术,本科及以上,绩效奖金 年底双薪 岗前培训 餐补 交通补助 健康体检 包吃包住 弹性工作 岗位晋升 年度旅游
上海英拜生物科技有限公司,上海市,技术助理,4K-6K/月,5000.0,生物科学，生物技术，生物科学类，生物信息学,本科及以上,
斯芬克司药物研发（天津）股份有限公司,天津市 盘锦市 焦作市,合成助理研究员,4K-6K/月,5000.0,生物工程，生物制药，生物工程类,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 免费班车 员工旅游
斯芬克司药物研发（天津）股份有限公司,盘锦市 天津市 焦作市,合成研究员,7K-9K/月,8000.0,药物化学，生物工程类，生物工程，生物制药,不限,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 免费班车 包吃包住
斯芬克司药物研发（天津）股份有限公司,盘锦市,QA专员,4K-6K/月,5000.0,化工与制药类，化学工程与工艺，生物制药，生物工程类，生物医学工程,大专及以上,绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 免费班车 员工旅游 包吃包住
新凤鸣集团股份有限公司,嘉兴市,PTA分析技术员,3.5K-5K/月,4250.0,化学，化学工程与工艺，能源化学工程，化学工程与工业生物工程，药物分析,大专及以上,免费班车 房补 餐补 带薪年假 包吃包住 健康体检
